,movie_id,keyword_id
0,505642,1701
1,505642,9663
2,505642,9715
3,505642,9717
4,505642,179431
5,505642,180059
6,505642,180547
7,505642,195394
8,436270,952
9,436270,2095
10,436270,9715
11,436270,9717
12,436270,15001
13,436270,155030
14,436270,179431
15,436270,229266
16,966220,1295
17,966220,3023
18,966220,244797
19,966220,252606
20,966220,257783
21,966220,272265
22,966220,273967
23,966220,294795
24,966220,301386
25,663712,3199
26,663712,3335
27,663712,6506
28,663712,9663
29,663712,10292
30,663712,12339
31,663712,15127
32,663712,176691
33,663712,179431
34,663712,191327
35,663712,232795
36,663712,296359
37,663712,306196
38,829280,703
39,829280,8250
40,829280,9663
41,829280,160342
42,829280,273879
43,882598,236
44,882598,703
45,882598,2340
46,882598,2726
47,882598,2754
48,882598,10541
49,882598,11612
50,882598,13005
51,882598,41329
52,882598,156075
53,882598,157701
54,882598,241827
55,882598,268132
56,882598,278807
57,49046,818
58,49046,2504
59,49046,11117
60,49046,14643
61,49046,15060
62,49046,191004
63,49046,210184
64,49046,230333
65,732459,810
66,732459,1462
67,760161,6259
68,760161,6625
69,760161,9675
70,760161,9826
71,760161,11062
72,760161,18409
73,760161,161814
74,760161,173298
75,760161,197430
76,760161,210544
77,760161,227855
78,985939,209439
79,856245,1415
80,856245,2286
81,856245,156091
82,532639,2710
83,532639,4344
84,532639,6300
85,532639,209220
86,532639,245230
87,532639,267848
88,532639,302735
89,944864,2157
90,1033107,241221
91,642885,380
92,642885,616
93,642885,3335
94,642885,5923
95,642885,6270
96,642885,6506
97,642885,9663
98,642885,12377
99,642885,33795
100,642885,179430
101,642885,179431
