,movie_id,genre_id
0,0,0
1,0,8
2,0,14
3,1,8
4,1,0
5,1,3
6,1,4
7,2,0
8,2,1
9,2,14
10,3,10
11,3,12
12,3,16
13,4,6
14,4,0
15,4,17
16,5,10
17,5,16
18,6,4
19,6,0
20,6,16
21,7,9
22,7,0
23,7,6
24,8,3
25,8,7
26,8,8
27,9,10
28,9,16
29,9,12
30,10,12
31,10,1
32,10,4
33,11,4
34,11,6
35,11,12
36,11,16
37,12,1
38,12,2
39,12,3
40,12,7
41,12,8
42,13,0
43,13,6
44,13,16
45,14,16
46,15,10
47,15,0
48,15,3
49,16,0
50,16,10
51,17,17
52,17,6
53,17,0
54,18,16
55,19,10
56,19,14
57,20,16
58,20,10
59,20,4
60,21,16
61,21,1
62,21,10
63,22,2
64,22,3
65,22,7
66,23,0
67,23,4
68,23,16
69,24,0
70,24,8
71,25,10
72,25,16
73,26,12
74,26,8
75,26,16
76,27,8
77,27,0
78,27,3
79,28,12
80,28,16
81,28,10
82,29,8
83,29,1
84,29,7
85,30,1
86,30,0
87,30,14
88,31,14
89,31,0
90,31,1
91,32,3
92,32,10
93,32,16
94,33,8
95,33,3
96,33,7
97,34,10
98,35,0
99,35,1
100,35,8
101,35,14
102,36,0
103,36,3
104,36,16
105,37,8
106,37,0
107,37,6
108,38,0
109,38,10
110,38,16
111,39,0
112,39,6
113,40,14
114,41,0
115,41,1
116,41,14
117,42,10
118,42,16
119,43,13
120,43,3
121,44,2
122,44,1
123,44,3
124,44,8
125,45,16
126,45,0
127,45,14
128,46,0
129,46,1
130,46,8
131,47,2
132,47,3
133,47,7
134,48,6
135,48,16
136,48,10
137,49,0
138,49,1
139,49,7
140,49,3
141,50,2
142,50,14
143,50,0
144,51,14
145,51,0
146,52,0
147,52,4
148,52,16
149,53,6
150,53,0
151,53,16
152,54,7
153,54,3
154,54,2
155,54,1
156,55,2
157,55,0
158,55,7
159,55,3
160,55,14
161,56,8
162,56,0
163,56,1
164,57,13
165,57,6
166,58,16
167,58,12
168,59,5
169,60,10
170,60,16
171,61,14
172,61,6
173,61,1
174,62,4
175,62,3
176,62,6
177,63,2
178,63,0
179,63,1
180,63,8
181,64,0
182,64,1
183,64,14
184,65,10
185,65,12
186,66,17
187,66,9
188,66,0
189,66,6
190,67,2
191,67,3
192,67,7
193,67,8
194,68,2
195,68,7
196,68,3
197,68,8
198,69,2
199,69,0
200,69,8
201,70,10
202,70,16
203,71,4
204,71,6
205,72,7
206,72,0
207,72,1
208,72,3
209,72,14
210,73,4
211,73,12
212,73,16
213,74,16
214,74,6
215,75,2
216,75,3
217,76,10
218,76,16
219,76,8
220,77,10
221,77,16
222,78,6
223,79,2
224,79,1
225,79,0
226,79,8
227,80,2
228,80,3
229,80,13
230,81,16
231,82,0
232,82,6
233,82,14
234,83,10
235,83,16
236,84,2
237,84,8
238,84,1
239,85,2
240,85,1
241,85,7
242,85,8
243,85,3
244,86,10
245,87,3
246,87,8
247,88,5
248,89,2
249,89,3
250,89,7
251,89,8
252,89,1
253,90,3
254,90,7
255,90,2
256,91,16
257,91,1
258,91,12
259,91,0
260,91,4
261,92,16
262,92,12
263,92,14
264,93,13
265,93,6
266,94,14
267,94,10
268,95,1
269,95,8
270,96,10
271,97,2
272,97,3
273,97,1
274,97,7
275,98,0
276,98,6
277,99,1
278,99,8
279,100,16
280,100,0
281,101,10
282,101,8
283,101,16
