,movie_id,keyword_id
0,0,0
1,0,1
2,0,28
3,0,40
4,0,97
5,0,2
6,0,10
7,0,3
8,0,11
9,0,4
10,0,14
11,0,33
12,0,101
13,0,5
14,0,6
15,0,7
16,1,43
17,1,38
18,1,44
19,1,45
20,1,46
21,1,47
22,1,48
23,1,49
24,1,50
25,1,51
26,1,52
27,1,53
28,1,54
29,1,55
30,1,56
31,2,8
32,2,9
33,2,2
34,2,10
35,2,3
36,2,11
37,2,12
38,2,13
39,2,4
40,2,14
41,2,33
42,2,101
43,2,15
44,3,16
45,3,17
46,3,18
47,3,19
48,3,20
49,3,21
50,3,22
51,3,23
52,3,24
53,4,25
54,4,26
55,4,93
56,4,27
57,4,96
58,4,1
59,4,28
60,4,40
61,4,97
62,4,29
63,4,30
64,4,31
65,4,32
66,4,4
67,4,14
68,4,33
69,4,101
70,4,34
71,4,35
72,4,36
73,4,37
74,5,38
75,5,44
76,5,39
77,5,1
78,5,28
79,5,40
80,5,97
81,5,41
82,5,42
83,6,57
84,6,58
85,6,59
86,6,60
87,6,61
88,6,62
89,6,63
90,6,64
91,9,65
92,9,66
93,11,67
94,11,68
95,11,69
96,11,70
97,11,71
98,11,72
99,11,73
100,11,74
101,11,75
102,11,76
103,11,77
104,12,79
105,12,80
106,12,81
107,13,78
108,15,82
109,15,83
110,15,84
111,15,85
112,15,86
113,15,87
114,15,88
115,16,89
116,17,90
117,18,91
118,18,92
119,18,26
120,18,93
121,18,94
122,18,95
123,18,27
124,18,96
125,18,1
126,18,28
127,18,40
128,18,97
129,18,98
130,18,99
131,18,100
132,18,4
133,18,14
134,18,33
135,18,101
136,19,0
137,19,1
138,19,28
139,19,40
140,19,97
141,19,2
142,19,10
143,19,3
144,19,11
145,19,100
146,19,4
147,19,14
148,19,33
149,19,101
150,19,6
151,20,91
152,20,92
153,20,26
154,20,93
155,20,94
156,20,95
157,20,27
158,20,96
159,20,1
160,20,28
161,20,40
162,20,97
163,20,98
164,20,99
165,20,100
166,20,4
167,20,14
168,20,33
169,20,101
170,21,45
171,22,82
172,22,83
173,22,84
174,22,85
175,22,86
176,22,87
177,22,88
178,23,89
179,25,1
180,25,28
181,25,40
182,25,97
183,27,0
184,27,1
185,27,28
186,27,40
187,27,97
188,27,2
189,27,10
190,27,13
191,27,100
192,27,4
193,27,14
194,27,33
195,27,101
196,27,6
197,29,57
198,29,4
199,29,14
200,29,33
201,29,101
202,30,90
203,33,69
204,35,25
205,35,26
206,35,93
207,35,30
208,35,32
209,35,34
210,35,55
211,37,2
212,37,10
213,37,3
214,37,11
215,37,100
216,37,4
217,37,14
218,37,33
219,37,101
220,37,6
221,38,70
222,38,55
223,39,60
224,40,1
225,40,28
226,40,40
227,40,97
228,40,100
229,40,4
230,40,14
231,40,33
232,40,101
233,41,4
234,41,14
235,41,33
236,41,101
237,45,1
238,45,28
239,45,40
240,45,97
241,45,4
242,45,14
243,45,33
244,45,101
245,45,85
246,46,1
247,46,28
248,46,40
249,46,97
250,48,2
251,48,10
252,48,3
253,48,11
254,48,100
255,48,4
256,48,14
257,48,33
258,48,101
259,48,6
260,52,2
261,52,10
262,52,3
263,52,11
264,52,100
265,52,4
266,52,14
267,52,33
268,52,101
269,52,87
270,53,57
271,55,29
272,55,12
273,56,2
274,56,10
275,57,3
276,57,11
277,58,48
278,58,12
279,59,47
280,59,26
281,59,93
282,59,1
283,59,28
284,59,40
285,59,97
286,59,30
287,60,67
288,60,2
289,60,10
290,60,3
291,60,11
292,60,100
293,62,100
294,63,83
295,63,68
296,64,2
297,64,10
298,64,3
299,64,11
300,67,79
301,67,70
302,74,30
303,74,34
304,75,4
305,75,14
306,75,33
307,75,101
