,movie_id,genre_id
0,505642,28
1,505642,12
2,505642,878
3,436270,28
4,436270,14
5,436270,878
6,663712,27
7,663712,53
8,829280,9648
9,829280,12
10,829280,80
11,675054,27
12,675054,28
13,675054,35
14,882598,27
15,882598,9648
16,882598,53
17,732459,28
18,732459,14
19,966220,18
20,966220,28
21,966220,10752
22,49046,10752
23,49046,18
24,49046,28
25,985939,53
26,760161,27
27,760161,53
28,979924,53
29,717728,27
30,717728,53
31,717728,9648
32,1033107,80
33,1033107,18
34,944864,28
35,944864,80
36,944864,53
37,856245,9648
38,856245,14
39,856245,53
40,642885,14
41,642885,35
42,642885,10751
43,896485,28
44,896485,80
45,896485,53
46,830788,27
47,830788,53
48,616037,14
49,616037,28
50,616037,35
51,361743,28
52,361743,18
53,420634,27
54,420634,53
55,718930,28
56,718930,35
57,718930,53
58,575322,878
59,960704,28
60,960704,12
61,960704,14
62,848526,53
63,848526,18
64,507086,12
65,507086,28
66,507086,878
67,532639,14
68,532639,12
69,532639,10751
70,766507,53
71,766507,28
72,766507,878
73,779782,14
74,779782,28
75,779782,18
76,848058,18
77,848058,53
78,848058,27
79,676701,12
80,676701,16
81,676701,35
82,676701,10751
83,676701,14
84,634649,28
85,634649,12
86,634649,878
87,928123,10752
88,928123,36
89,928123,28
90,928123,18
91,852046,18
92,852046,28
93,852046,53
94,284054,28
95,284054,12
96,284054,878
97,780609,27
98,780609,53
99,780609,14
100,477462,27
101,477462,9648
102,916605,53
103,916605,9648
104,900667,16
105,900667,12
106,900667,28
107,900667,14
108,438148,16
109,438148,10751
110,610150,16
111,610150,878
112,610150,28
113,760741,53
114,760741,12
115,760741,27
116,19995,28
117,19995,12
118,19995,14
119,19995,878
120,848791,80
121,848791,18
122,848791,9648
123,848791,53
124,879538,53
125,675353,28
126,675353,12
127,675353,10751
128,675353,35
129,928773,27
130,928773,53
131,928015,27
132,928015,14
133,928015,53
134,453395,14
135,453395,28
136,453395,12
137,791155,878
138,791155,12
139,791155,28
140,539681,16
141,539681,28
142,539681,10751
143,539681,35
144,539681,878
145,86328,27
146,744276,10749
147,744276,18
148,916719,53
149,916719,28
150,76600,878
151,76600,28
152,76600,12
153,936061,10751
154,936061,14
155,936061,10770
156,619730,53
157,619730,9648
158,619730,878
159,862965,80
160,862965,18
161,862965,9648
162,862965,53
163,811061,27
164,811061,53
165,629176,28
166,629176,18
167,629176,878
168,904039,16
169,904039,35
170,955644,16
171,955644,14
172,955644,12
173,414906,80
174,414906,9648
175,414906,53
176,1024535,27
177,1040603,99
178,810693,16
179,810693,28
180,810693,14
181,585511,16
182,585511,12
183,585511,35
184,585511,14
185,635302,16
186,635302,28
187,635302,12
188,635302,14
189,834734,53
190,833097,10749
191,833097,35
192,756999,27
193,756999,53
194,807356,9648
195,807356,53
196,807356,27
197,568124,16
198,568124,35
199,568124,10751
200,568124,14
201,508947,16
202,508947,10751
203,508947,35
204,508947,14
205,579974,28
206,579974,18
207,962232,10749
208,962232,18
209,962232,35
210,1024530,27
211,924482,53
212,924482,12
213,924482,9648
214,924482,28
215,924482,80
216,820067,16
217,820067,35
218,820067,10749
219,820067,16
220,820067,35
221,820067,10749
222,429473,28
223,429473,53
224,429473,18
225,812488,53
226,812488,14
227,812488,27
228,616820,27
229,616820,53
230,1039026,35
231,982317,27
232,366672,10751
233,366672,35
234,366672,16
235,366672,28
236,752623,28
237,752623,12
238,752623,35
239,960875,27
240,960875,53
241,960875,9648
242,941959,53
243,886396,16
244,886396,28
245,886396,878
246,1034470,35
247,1034470,10751
248,1034470,16
249,950044,10402
250,884363,80
251,884363,18
252,851644,10749
253,851644,18
254,759507,28
255,759507,12
256,759507,53
257,585083,16
258,585083,35
259,585083,10751
260,585083,14
261,585083,12
262,969160,27
263,969160,53
264,354912,10751
265,354912,16
266,354912,14
267,354912,10402
268,354912,35
269,354912,12
270,299536,12
271,299536,28
272,299536,878
273,960700,14
274,960700,28
275,960700,12
276,335795,12
277,335795,10751
278,335795,10770
279,913290,27
280,913290,53
281,768744,16
282,768744,28
283,768744,12
284,768744,878
285,551271,36
286,551271,28
287,551271,18
288,744114,18
289,744114,10749
290,338953,14
291,338953,12
292,338953,28
293,595586,18
294,883083,27
295,883083,18
296,883083,36
297,1005776,27
298,1005776,53
299,580489,878
300,580489,28
301,580489,12
302,801071,27
303,639933,28
304,639933,12
305,639933,14
306,626735,18
307,626735,35
308,629542,16
309,629542,28
310,629542,12
